,tweet,Predicted Labels,ML Call,ML Call Accuracy,Basic Hashing,Basic Hashing Accuracy,Levenshtein,Levenshtein Accuracy,Soundex,Soundex Accuracy,Soundex and Levenshtein,Soundex and Levenshtein Accuracy,All,All Methods Accuracy
0,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,False,False,True Negative,False,True Negative,False,True Negative,True,False Positive,False,True Negative,False,True Negative
1,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",False,False,True Negative,False,True Negative,True,False Positive,True,False Positive,False,True Negative,False,True Negative
2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",False,False,True Negative,False,True Negative,True,False Positive,True,False Positive,False,True Negative,False,True Negative
3,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",False,True,False Positive,True,False Positive,True,False Positive,True,False Positive,True,False Positive,True,False Positive
4,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",False,True,False Positive,True,False Positive,True,False Positive,True,False Positive,True,False Positive,True,False Positive
5,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",False,False,True Negative,False,True Negative,True,False Positive,True,False Positive,True,False Positive,True,False Positive
6,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",False,False,True Negative,False,True Negative,False,True Negative,True,False Positive,False,True Negative,False,True Negative
7,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",False,False,True Negative,False,True Negative,False,True Negative,True,False Positive,False,True Negative,False,True Negative
8,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",False,False,True Negative,False,True Negative,True,False Positive,True,False Positive,False,True Negative,False,True Negative
9,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",False,False,True Negative,False,True Negative,False,True Negative,True,False Positive,False,True Negative,False,True Negative
10,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",False,False,True Negative,False,True Negative,False,True Negative,True,False Positive,False,True Negative,False,True Negative
11,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",False,False,True Negative,False,True Negative,True,False Positive,True,False Positive,True,False Positive,True,False Positive
12,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",False,False,True Negative,False,True Negative,False,True Negative,True,False Positive,False,True Negative,False,True Negative
13,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",False,True,False Positive,False,True Negative,True,False Positive,True,False Positive,False,True Negative,False,True Negative
14,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",False,False,True Negative,False,True Negative,False,True Negative,False,True Negative,False,True Negative,False,True Negative
15,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",False,False,True Negative,False,True Negative,False,True Negative,True,False Positive,False,True Negative,False,True Negative
16,"""@UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man",False,False,True Negative,False,True Negative,False,True Negative,True,False Positive,False,True Negative,False,True Negative
17,"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd""",False,False,True Negative,False,True Negative,False,True Negative,True,False Positive,False,True Negative,False,True Negative
18,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",False,False,True Negative,False,True Negative,False,True Negative,True,False Positive,False,True Negative,False,True Negative
19,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;""",False,False,True Negative,False,True Negative,False,True Negative,True,False Positive,False,True Negative,False,True Negative
